2024-10-15 15:34:48, Monitor_A, 65 bpm
2024-10-15 15:34:48, Device: , Heart Rate: 72
2024-10-15 15:34:49, Monitor_A, 80 bpm
2024-10-15 15:34:49, Device: , Heart Rate: 90
2024-10-15 15:34:50, Monitor_A, 100 bpm
2024-10-15 15:34:50, Device: , Heart Rate: 63
2024-10-15 15:34:51, Monitor_A, 96 bpm
2024-10-15 15:34:51, Device: , Heart Rate: 79
2024-10-15 15:34:52, Monitor_A, 63 bpm
2024-10-15 15:34:52, Device: , Heart Rate: 62
2024-10-15 15:34:53, Monitor_A, 82 bpm
2024-10-15 15:34:53, Device: , Heart Rate: 85
2024-10-15 15:34:54, Monitor_A, 82 bpm
2024-10-15 15:34:54, Device: , Heart Rate: 97
2024-10-15 15:34:55, Monitor_A, 80 bpm
2024-10-15 15:34:55, Device: , Heart Rate: 66
2024-10-15 15:34:56, Monitor_A, 100 bpm
2024-10-15 15:34:56, Device: , Heart Rate: 85
2024-10-15 15:34:57, Monitor_A, 100 bpm
2024-10-15 15:34:57, Device: , Heart Rate: 95
2024-10-15 15:34:58, Monitor_A, 81 bpm
2024-10-15 15:34:58, Device: , Heart Rate: 78
2024-10-15 15:34:59, Monitor_A, 71 bpm
2024-10-15 15:34:59, Device: , Heart Rate: 85
2024-10-15 15:35:00, Monitor_A, 94 bpm
2024-10-15 15:35:00, Device: , Heart Rate: 78
2024-10-15 15:35:01, Monitor_A, 98 bpm
2024-10-15 15:35:01, Device: , Heart Rate: 87
2024-10-15 15:35:02, Monitor_A, 81 bpm
2024-10-15 15:35:02, Device: , Heart Rate: 87
2024-10-15 15:35:03, Monitor_A, 60 bpm
2024-10-15 15:35:03, Device: , Heart Rate: 93
2024-10-15 15:35:04, Monitor_A, 79 bpm
2024-10-15 15:35:04, Device: , Heart Rate: 80
2024-10-15 15:35:05, Monitor_A, 75 bpm
2024-10-15 15:35:05, Device: , Heart Rate: 85
2024-10-15 15:35:06, Device: , Heart Rate: 93
2024-10-15 15:35:06, Monitor_A, 74 bpm
2024-10-15 15:35:07, Device: , Heart Rate: 73
2024-10-15 15:35:07, Monitor_A, 60 bpm
2024-10-15 15:35:07, Device: , Heart Rate: 76
2024-10-15 15:35:07, Monitor_A, 97 bpm
2024-10-15 15:35:08, Device: , Heart Rate: 66
2024-10-15 15:35:08, Monitor_A, 70 bpm
2024-10-15 15:35:09, Device: , Heart Rate: 69
2024-10-15 15:35:09, Monitor_A, 89 bpm
2024-10-15 15:35:10, Device: , Heart Rate: 82
2024-10-15 15:35:10, Monitor_A, 84 bpm
2024-10-15 15:35:11, Monitor_A, 99 bpm
2024-10-15 15:35:11, Device: , Heart Rate: 93
2024-10-15 15:35:12, Monitor_A, 66 bpm
2024-10-15 15:35:12, Device: , Heart Rate: 96
2024-10-15 15:35:13, Monitor_A, 68 bpm
2024-10-15 15:35:13, Device: , Heart Rate: 92
